VP,radix,polarity
어필하는,어필,1
화합하는,화합,1
상쾌하,상쾌,1
자부할,자부,1
압도했,압도,1
사랑하셨,사랑,1
깜찍하면서도,깜찍,1
원만하,원,1
달콤,달콤,1
아름답다,아름답,1
개선하,개선,1
사랑스럽다,사랑,1
축하한,축하,1
하늘하늘한,하늘하늘,1
넉넉한,넉넉,1
흐뭇함,흐뭇,1
잘됐,잘하,1
대단하네,대단,1
자신한,자신,1
존경,존경,1
든든했,든든,1
통과,통과,1
멋지네,멋지,1
발전된,발전,1
지혜롭,지혜,1
잘하네,잘하,1
확보하는,확보,1
진정되,진정하,1
통과한,통과,1
환호,환하,1
이쁘네,이쁘,1
감동하는,감동,1
즐기겠,즐기,1
이기는,이기,1
찬양하,찬양,1
후련하,후련,1
맛있게 먹는,맛있 먹,1
속시원한,속,1
뿌듯하다,뿌듯,1
그립다,그립,1
유명했,유명,1
달콤함,달콤,1
추진한,추진,1
합격,합격,1
개선될,개선,1
발전할,발전,1
웃겼,웃,1
싱싱한,싱싱,1
가능하다,가능,1
신선하다,신선,1
으쓱하,으쓱,1
어필,어필,1
용서하는,용서,1
옳은,옳,1
씩씩,씩씩,1
믿던,믿,1
친밀,친밀,1
고마움,고마움,1
심오한,심오,1
좋아하긴,좋아하,1
소중해,소중,1
두드러지,두드러지,1
쾌적한,쾌적,1
이루어지길,이루어지,1
대단했,대단,1
칭찬,칭찬,1
만족하는,만족,1
믿겠,믿,1
예뻐지,예쁘,1
자신했,자신,1
넉넉하,넉넉,1
반했다,반하,1
영리하,영리,1
중대한,중대,1
좋아하냐,좋아하,1
영광,영광,1
완벽할,완벽,1
잘된,잘되,1
건강하기,건강,1
합격하,합격,1
매력있는,매력,1
현명하,현명,1
착하다,착하,1
맛있다,맛있,1
어필할,어필,1
고마워,고마워하,1
적합하,적합,1
편리한,편리,1
귀엽네,귀엽,1
미소,미소,1
크는,크,1
놀아,놀,1
회복한,회복,1
허락받,허락,1
꿋꿋하,꿋꿋,1
좋네,좋,1
특별하다,특별,1
짜릿함,짜릿,1
자신하,자신,1
건강하길,건강,1
든든,든든,1
화려해,화려,1
사랑스럽네,사랑,1
효도한,효도,1
적당히 좋아하는,적당히 좋아하,1
바람직하,바람직,1
인정되,인정,1
축복하,축복,1
간직하,간직,1
풍요롭,풍요,1
간편하,간편,1
부지런한,부지런,1
함께 일하는,함께 일하,1
기대는,기대,1
반했을,반하,1
평온함,평온,1
회복될,회복,1
환하게 웃었,환하 웃,1
꾸준함,꾸준,1
어필한,어필,1
즐기기,즐기,1
추천받,추천,1
간편한,간편,1
독특함,독특,1
인정할,인정,1
수월하,수월,1
놀던,놀,1
통크,통하,1
호강하,호강,1
시원시원하시,시원시원,1
강해,강하,1
짜릿,짜릿,1
기부할,기부,1
뛰어넘을,뛰어넘,1
존경하던,존경,1
친밀함,친밀,1
좋아하네,좋아하,1
독특,독특,1
반갑다,반갑,1
신선할,신선,1
신선,신선,1
좋아한,좋아하,1
굉장,굉장,1
날씬함,날씬,1
잘먹,잘,1
자세하,자세히,1
우수하,우수,1
노력해,노력,1
찬양하는,찬양,1
통큰,통하,1
기쁘셨,기쁘,1
잘되는,잘되,1
온화한,온화,1
극복한,극복,1
또렷하,또렷,1
확보된,확보,1
포근함,포근,1
유명해지,유명,1
고마운,고맙,1
섹시했,섹시하,1
성료,성하,1
선선한,선선,1
귀하,귀하,1
순수함,순수,1
발전시키는,발전,1
칭찬한,칭찬,1
다양화,다양,1
무궁무진하,무궁무진,1
놀러,놀,1
우렁차,우렁차,1
환영하,환영,1
즐겁다,즐겁,1
유리,유리,1
신기할,신기,1
반했네,반하,1
실리,실하,1
귀여운,귀엽,1
축하받,축하,1
중요시,중요,1
흡족,흡족,1
으쓱,으쓱,1
좋아좋,좋아하,1
두텁,두텁,1
보답하는,보답,1
자랑스런,자랑,1
근사하,근사,1
훈훈하네,훈훈,1
선호하,선호,1
아름답기,아름답,1
의기양양한,의기양양,1
현명한,현명,1
귀엽죠,귀엽,1
신중했,신중,1
잘생긴,잘생기,1
진정성,진정하,1
훤하,훤하,1
해결한,해결,1
풍부,풍부,1
수습하,수습,1
일깨워,일깨우,1
따뜻할,따뜻,1
감격,감격,1
충분할,충분,1
제일 잘한,제일 잘하,1
진정,진정하,1
완벽했,완벽,1
편안하다,편안,1
좋죠,좋,1
대단함,대단,1
추천된,추천,1
매우 기쁘게,맵 기쁘,1
의젓한,의젓,1
시원시원하셨,시원시원,1
용서하,용서,1
칭찬받,칭찬,1
정성스럽,정성,1
간절했,간절,1
행복하기,행복,1
경건하,경건,1
사랑스럽죠,사랑,1
바로잡는,바로잡,1
평온한,평온,1
넉넉,넉넉,1
흥하,흥하,1
즐거워했,즐거워하,1
강화했,강화,1
화사함,화사,1
성숙된,성숙,1
간절,간절,1
매우 뛰어나고,맵 뛰어나,1
친하게 지내는,친하 지내,1
친하다,친하,1
기막히,기막히,1
자부,자부,1
슬기롭,슬기,1
자부하,자부,1
만족한,만족,1
편승,편하,1
진실한,진실,1
유익한,유익,1
이룩한,이룩,1
명예롭,명예,1
멋있죠,멋있,1
가능하겠,가능,1
친밀한,친밀,1
화려하기,화려,1
고귀한,고귀,1
즐거워하는,즐거워하,1
밝음,밝,1
베풀,베풀,1
밝힌,밝,1
날씬하,날씬,1
웃기는,웃기,1
중요할,중요,1
기뻐해,기뻐하,1
돕겠,돕,1
깨닫는,깨닫,1
똑똑하다,똑똑,1
깜찍,깜찍,1
확실하다,확실,1
상큼했,상큼,1
친했,친하,1
겸손,겸손,1
호감,호감,1
신기했,신기,1
유리하,유리,1
조화,조화,1
시원할,시원,1
찬양한,찬양,1
뽐내던,뽐내,1
믿어,믿,1
잘해,잘하,1
신나있,신나,1
호감갖,호감,1
색다른,색다르,1
환영했,환영,1
좋음,좋,1
달래줄,달래,1
유명하다,유명,1
다양함,다양,1
들어맞는,들어맞,1
뽐내온,뽐내,1
극복하는,극복,1
자상함,자상,1
영롱하,영롱,1
즐거워진,즐거워하,1
축복했,축복,1
예방할,예방,1
뛰어나다,뛰어나,1
화목함,화목,1
짜릿하네,짜릿,1
만족할 만한,만족 만하,1
멋지죠,멋지,1
사랑받던,사랑받,1
맛있게 먹었,맛있 먹,1
가능하기,가능,1
노력하신,노력,1
회복했,회복,1
생생하네,생생,1
화려했,화려,1
아늑한,아늑,1
널리 알려지게,널리 알리,1
정돈되,정돈,1
예쁜,예쁘,1
건강하다,건강,1
고마워하,고마워하,1
특별할,특별,1
흥분하,흥분,1
섹시하네,섹시하,1
잘살,잘하,1
기부될,기부,1
구원할,구원,1
명쾌하,명쾌,1
승리할,승리,1
기부하겠,기부,1
존중,존중,1
적절했,적절히,1
훈훈해,훈훈,1
단련한,단련,1
부러운,부럽,1
화목하,화목,1
구원,구원,1
푸짐하,푸짐,1
예쁘단,예쁘,1
소중하다,소중,1
경건한,경건,1
완벽함,완벽,1
안도,안도,1
월등하,월등히,1
부드러운,부드럽,1
신령한,신령,1
정중한,정중,1
맛깔나,맛깔,1
유용한,유용,1
도와주시,도와주,1
공손한,공손,1
멋진,멋지,1
감격스럽,감격,1
온전하,온전,1
강했,강하,1
따뜻했,따뜻,1
열광할,열광,1
신명나,신명,1
순수,순수,1
웃던,웃,1
감동받,감동,1
멋있을,멋있,1
숨김없이 말하는,숨김없이 말하,1
무궁무진할,무궁무진,1
받겠,받,1
착실한,착실,1
효과적이,효과적,1
기대된,기대되,1
강화됐,강화,1
감격했,감격,1
대접하는,대접,1
놀랄,놀,1
용서할,용서,1
든든하다,든든,1
공손,공손,1
감격하,감격,1
안심하,안심,1
고마워옹,고마워하,1
좋아하기,좋아하,1
안심할,안심,1
만족했,만족,1
개운,개운,1
사랑받을,사랑받,1
감미롭다,감미롭,1
고마워용,고마워하,1
웃네,웃,1
무사한,무사히,1
개선할,개선,1
강화될,강화,1
똑바르,똑바르,1
상향하는,상향,1
즐거워하,즐거워하,1
똑똑하네,똑똑,1
돕던,돕,1
견고함,견고,1
선미,선하,1
세련됐,세련되,1
평화롭,평화,1
귀엽지,귀엽,1
깨달음,깨달음,1
포근하다,포근,1
특별하긴,특별,1
시원시원,시원시원,1
허락,허락,1
간직,간직,1
자신,자신,1
들어맞,들어맞,1
단정함,단정,1
장하,장하,1
정정당당하,정정당당,1
높이 평가하는,높이 평가,1
이룩,이룩,1
강함,강하,1
단정,단정,1
추천할,추천,1
경쾌함,경쾌,1
달달하네,달달,1
완성하네,완성,1
아름답네,아름답,1
축하하기,축하,1
평안한,평안,1
괜찮았,괜찮,1
대접,대접,1
잘생기신,잘생기,1
존중받,존중,1
인상적이,인상적,1
능할,능하,1
정확,정하,1
굉장하다,굉장,1
착하신,착하,1
친해,친하,1
귀했,귀하,1
유명하시,유명,1
정의롭,정의,1
용감,용감,1
괜찮을,괜찮,1
더하네,더하,1
치료받,치료,1
더하다,더하,1
완전하,완전,1
반했죠,반하,1
다정하네,다정,1
안도했,안도,1
해결될,해결,1
친절,친절,1
도와주기,도와주,1
치료한,치료,1
산뜻함,산뜻,1
활발하기,활발,1
갸름하,갸름,1
승낙했,승낙,1
가능하네,가능,1
사뿐한,사뿐,1
조화로움,조화,1
잘래,잘하,1
다채롭다,다채,1
훈훈했,훈훈,1
쾌적,쾌적,1
받네,받,1
열광하던,열광,1
선호하던,선호,1
흥미,흥미,1
정돈,정돈,1
감격할,감격,1
합격하는,합격,1
선전,선전,1
환영해,환영,1
뿌듯해,뿌듯,1
올바르,올바르,1
설레임,설레,1
공평한,공평,1
환하게 웃을,환하 웃,1
똑똑,똑똑,1
밝을,밝,1
말끔한,말끔,1
든든함,든든,1
보살피는,보살피,1
경이롭,경이,1
발랄,발랄,1
흥한,흥하,1
호감됨,호감,1
화사했,화사,1
따뜻하기,따뜻,1
용감했,용감,1
잘되겠,잘되,1
엘리트답,엘리트,1
후련하다,후련,1
사람다운,사람,1
낫길,낫,1
함께 일한,함께 일하,1
반하겠,반하,1
환영받,환영,1
반겼,반하,1
섹시할,섹시하,1
가뿐하,가뿐,1
반박,반하,1
즐기자,즐기,1
확실시,확실,1
어울리겠,어울리,1
시원,시원,1
크네,크,1
신선하겠,신선,1
유익함,유익,1
즐거운,즐겁,1
아끼고 사랑하는,아끼 사랑,1
놀랍다,놀랍,1
정돈된,정돈,1
즐거워졌,즐거워하,1
제일 잘하는,제일 잘하,1
나아가게 하는,나아가 하다,1
극복하셨,극복,1
자랑하던,자랑,1
달래셨,달래,1
무탈하,무,1
현명,현명,1
행복하실,행복,1
가지런하,가지런,1
특이,특이,1
달달,달달,1
자상한,자상,1
화목,화목,1
설레였,설레,1
노력헀,노력,1
짜릿하다,짜릿,1
친한,친하,1
아름답길,아름답,1
무사,무사히,1
검소한,검소,1
공평,공평,1
공평하다,공평,1
상향된,상향,1
중요하겠,중요,1
어울리냐,어울리,1
꼼꼼함,꼼꼼,1
기대받,기대,1
고맙소,고맙,1
영예로운,영예,1
인정받큼,인정받,1
므흣하,므흣하,1
선점,선하,1
사로잡혔,사로잡,1
적합했,적합,1
잘생기긴,잘생기,1
위대하,위대,1
사로잡히,사로잡,1
신나봤,신나,1
귀엽던,귀엽,1
화사할,화사,1
섹시하신,섹시하,1
감당하,감당,1
탄탄했,탄탄,1
경쾌,경쾌,1
제일 잘될,제일 잘하,1
극복하길,극복,1
추천해,추천,1
밝힐,밝,1
든든하네,든든,1
고상한,고상,1
좋아하시,좋아하,1
평탄한,평탄,1
인정될,인정,1
가능하죠,가능,1
상향될,상향,1
섹시말,섹시하,1
유쾌하다,유쾌,1
용이한,용이,1
야물,야물,1
왕성,왕성,1
책임감있는,책임감,1
환기,환하,1
최고,최고,1
단련,단련,1
인정받길,인정받,1
적절,적절히,1
흥분했,흥분,1
괜찮나,괜찮,1
섹시하단,섹시하,1
깜찍해,깜찍,1
훌륭하신,훌륭,1
놀쟈,놀,1
그리워지는,그리워지,1
훌륭,훌륭,1
쾌활함,쾌활,1
그리워하던,그리워하,1
개선된,개선,1
이기네,이기,1
무궁무진함,무궁무진,1
깔끔함,깔끔,1
달성되,달성,1
달달하,달달,1
매우 매끄럽게,맵 매끄럽,1
성공하기,성공,1
훤칠하,훤칠,1
열심히,열심히,1
똑똑한,똑똑,1
보살피,보살피,1
거뜬,거뜬,1
완벽하죠,완벽,1
높이겠,높이,1
멀쩡한,멀쩡,1
활발할,활발,1
감개무량하,감개,1
이루길,이루,1
말쑥한,말쑥,1
달성될,달성,1
멋지단,멋지,1
맹세,맹세,1
인정된,인정,1
선전하,선전,1
구원하는,구원,1
대견하,대견,1
뚜렷할,뚜렷,1
강하게 만들,강하 만들,1
상향하,상향,1
잘하죠,잘하,1
성숙했,성숙,1
행복하던,행복,1
영광스럽다,영광,1
웃어,웃,1
용서하겠,용서,1
기운차,기운차,1
황홀,황홀,1
이바지하,이바지,1
존경받,존경,1
통쾌했,통쾌,1
열광했,열광,1
친절함,친절,1
열중,열중,1
바르겠,바르,1
감탄할,감탄,1
대단하기,대단,1
단련된,단련,1
높히,높,1
뽀얀,뽀얗,1
믿보,믿,1
좋아진,좋아하,1
낫다,낫,1
귀여워진,귀여워하,1
자부한,자부,1
자부하는,자부,1
자부하기,자부,1
정밀한,정밀,1
가능해,가능,1
평화롭다,평화,1
호강하는,호강,1
끌림,끌,1
확보되,확보,1
이바지한,이바지,1
격려할,격려,1
거뜬하,거뜬,1
높이 평가할,높이 평가,1
멋있음,멋있,1
사로잡기,사로잡,1
간편함,간편,1
싱글벙글,싱글벙글,1
화려하네,화려,1
완벽하네,완벽,1
끌리,끌,1
친숙,친하,1
추진됐,추진,1
추진될,추진,1
선도,선하,1
황홀함,황홀,1
후련한,후련,1
예쁘겠,예쁘,1
우아하다,우아,1
이루자,이루,1
격려하였,격려,1
크군,크,1
갖추어,갖추,1
날씬,날씬,1
화려할,화려,1
뿌듯할,뿌듯,1
화합하,화합,1
젊어,젊,1
사귀겠,사귀,1
사귀나,사귀,1
감동했,감동,1
편하지,편하,1
선호할,선호,1
고맙단,고맙,1
높이 평가하기,높이 평가,1
가치있는,가치,1
격려한,격려,1
신뢰할,신뢰,1
흥행한,흥행,1
진정하,진정하,1
섹시하다,섹시하,1
깔끔하다,깔끔,1
깨끗,깨끗하,1
잘하실,잘하,1
생생하다,생생,1
존중했,존중,1
우쭐했,우쭐,1
강제,강하,1
존중할,존중,1
수월,수월,1
요긴한,요긴,1
튼튼한,튼튼,1
발전하겠,발전,1
소중하기,소중,1
가능하냐,가능,1
편하다,편하,1
자신없,자신,1
좋아하냔,좋아하,1
트렌디,트렌디하,1
감사하는,감사,1
치료하는,치료,1
참신하,참신,1
통과했,통과,1
잘맞,잘하,1
향상,향상,1
안락하,안락,1
예의,예의,1
다양할,다양,1
놀다,놀,1
행복하자,행복,1
축하허,축하,1
칭찬해,칭찬,1
우아하네,우아,1
간직하겠,간직,1
허락되는,허락,1
독특하다,독특,1
존귀한,존귀,1
웃겨,웃,1
귀한,귀,1
우월할,우월,1
각별했,각별,1
수월한,수월,1
선명함,선명,1
잘추,잘하,1
설레겠,설레,1
미끈한,미끈,1
기대겠,기대,1
진실,진실,1
해결되,해결,1
더듬,더하,1
꿋꿋한,꿋꿋,1
좋아함,좋아하,1
감개무량,감개,1
포근,포근,1
달래줬,달래,1
중요하기,중요,1
재미있겠,재미있,1
똘똘한,똘똘,1
친하게 지내,친하 지내,1
멀쩡할,멀쩡,1
포근할,포근,1
베푸는,베풀,1
반했던,반하,1
함께 일하기,함께 일하,1
인정하기,인정,1
역전했,역전,1
우수,우수,1
아름답던,아름답,1
열중했,열중,1
웃음,웃,1
최적의,최적,1
으쓱할,으쓱,1
흐뭇할,흐뭇,1
깔끔했,깔끔,1
예쁘지,예쁘,1
인기있,인기,1
우월하,우월,1
자연스럽다,자연,1
알맞,알맞,1
친근함,친근,1
고급스럽다,고급,1
멋있던,멋있,1
돋보이기,돋보이,1
귀엽냐,귀엽,1
허락해,허락,1
예쁘기,예쁘,1
산뜻,산뜻,1
한결같,한결같,1
장엄한,장엄,1
유쾌,유쾌,1
갸름,갸름,1
단정하네,단정,1
사랑하네,사랑,1
편해,편하,1
참신하다,참신,1
생생함,생생,1
말끔하,말끔,1
튼튼,튼튼,1
으쓱하는,으쓱,1
신박하,신,1
잘하기,잘하,1
사랑받네,사랑받,1
귀엽단,귀엽,1
신뢰하,신뢰,1
성원,성하,1
